"Gene.Symbol","P.Value","adj.P.Val","logFC"
"PSMD2",0.00134962362488011,0.00668735920642221,-0.440922342233101
"PSMD3",0.00170182615853187,0.00804466651058668,-0.425682111091283
"PSMD4",0.286987179052559,0.426681516635393,-0.125405753218183
"PSMD5",0.719997620085161,0.80816165674104,-0.0590265060248286
"PSMD6",0.00269508443508733,0.0116406945026775,-0.377437579548008
"PSMD7",0.00202172920753732,0.00922800457993283,-0.41379098272024
"PSMD8",0.0019889103372965,0.00909961660510154,-0.446939973835322
"PSMD9",0.00397772146571189,0.0158730417655909,-0.409662634415607
"PSMD10",0.299335699612969,0.440071118064955,-0.192573583884315
"PSMD11",0.307081801328723,0.448231985968816,-0.10695505189905
"PSMD12",0.394740036096999,0.536800790412664,0.106833015128653
"PSMD13",0.0368118282256617,0.0909975728311634,-0.334882500320143
"PSMD14",0.335897989219066,0.478502009793527,-0.154316401074475
"PSME1",0.0591768883295028,0.131138959015501,-0.32724063625386
"PSME2",0.384287791281641,0.527170108794593,-0.143483891638222
"PSME3",0.00958990462868039,0.0319780253400281,-0.357195533152093
"PSME4",0.00519709542311607,0.019580899216154,-0.378543450193156
"PSMF1",0.00814588501562769,0.0281487396031009,-0.332628359771745
"PSMG1",0.0166419324500453,0.0492463448394339,0.417660112250643
"PSMG2",0.367973139236266,0.511333734581628,0.11490221443337
"PSMG3",0.890928737972137,0.930361153902149,0.0243733867776005
"PSMG4",0.490806216380224,0.622182572520336,0.0847484921904423
"PSORS1C1",0.487914296664341,0.619939575072369,-0.0881404551973576
"PSPC1",0.139090384023559,0.250585520044302,0.176818646179727
"PSPH",0.0655298738487058,0.141499667769315,0.301008396891418
"PSPN",0.826207879946895,0.888246253179071,0.0199457619020277
"PSRC1",2.31213687593083e-08,8.29065676123807e-07,1.02808389805879
"PSTK",0.173340932593409,0.293463716416754,0.149172514781929
"PSTPIP1",0.953279642624971,0.970031261812138,0.0162405120213446
